Common,Species,Category
Taurine cattle,Bos taurus,Domesticated Animal FAO
Zebu cattle,Bos indicus,Domesticated Animal FAO
Bali cattle,Bos javanicus,Domesticated Animal FAO
Mithun,Bos frontalis,Domesticated Animal FAO
Yak,Bos grunniens,Domesticated Animal FAO
River buffalo,Bubalus bubalis,Domesticated Animal FAO
Swamp buffalo,Bos bubalis carabensis,Domesticated Animal FAO
Sheep,Ovis aries,Domesticated Animal FAO
Goat,Capra hircus,Domesticated Animal FAO
Reindeer,Rangifer tarandus,Domesticated Animal FAO
Dromedary,Camelus dromedarius,Domesticated Animal FAO
Bactrian camel,Camelus bactrianus,Domesticated Animal FAO
Llama,Lama glama,Domesticated Animal FAO
Alpaca,Vicugna pacos,Domesticated Animal FAO
Pig,Sus scrofa,Domesticated Animal FAO
Horse,Equus caballus,Domesticated Animal FAO
Donkey,Equus asinus,Domesticated Animal FAO
Rabbit,Oryctolagus cuniculus,Domesticated Animal FAO
Chicken,Gallus domesticus,Domesticated Animal FAO
Turkey,Meleagris gallopavo ,Domesticated Animal FAO
Domestic Duck,Anas platyrhynchos ,Domesticated Animal FAO
Muscovy Duck,Cairina moschata,Domesticated Animal FAO
Greylag Goose,Anser anser,Domesticated Animal FAO
Swan,Anser cygnoides,Domesticated Animal FAO
,,
"# Scherf, B. D., Pilling, D., & Commission on Genetic Resources for Food and Agriculture. (2015). The second report on the state of the world’s animal genetic resources for food and agriculture. Retrieved from http://www.fao.org/3/a-i4787e.pdf",,